id,name_en,name_hi,name_mr,aliases,category,lat,lng,area,desc_en,desc_hi,desc_mr,timings,phone,open24x7,accessible,verified_by,verified_on,verified_source
brahmagiri,Brahmagiri,ब्रह्मगिरि,ब्रह्मगिरी,brahmagiri hill|bramhagiri|brahmgiri|brahmagiri parvat,temple,19.915186,73.523602,Trimbakeshwar,"Sacred hill above Trimbak, source of the Godavari, climbed by many pilgrims.","त्र्यंबक के ऊपर पवित्र पहाड़ी, गोदावरी का उद्गम, जहाँ कई श्रद्धालु चढ़ते हैं।","त्र्यंबकच्या वरील पवित्र डोंगर, गोदावरीचा उगम, जिथे अनेक भाविक चढतात.",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/9197240542
anjani-mata-mandir,"Anjani Mata Mandir, Anjaneri","अंजनी माता मंदिर, अंजनेरी","अंजनी माता मंदिर, अंजनेरी",anjaneri|anjani mata|anjneri|hanuman janmasthan|anjaneri temple,temple,19.929762,73.577556,Anjaneri,"Temple of Anjani Mata on the Anjaneri hill trail, revered as Hanuman's birthplace.","अंजनेरी पहाड़ी मार्ग पर अंजनी माता का मंदिर, हनुमान जी का जन्मस्थान माना जाता है।","अंजनेरी डोंगर वाटेवरील अंजनी मातेचे मंदिर, हनुमानाचे जन्मस्थान मानले जाते.",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/12464867585
nivruttinath-samadhi,Sant Nivruttinath Samadhi,संत निवृत्तिनाथ समाधि,संत निवृत्तिनाथ समाधी,nivruttinath|nivrutti nath|nivruttinath maharaj|nivrutinath samadhi,temple,19.932901,73.523359,Trimbakeshwar,"Samadhi temple of Sant Nivruttinath, a major Warkari pilgrimage spot in Trimbak.","त्र्यंबक में संत निवृत्तिनाथ का समाधि मंदिर, वारकरियों का प्रमुख तीर्थ।","त्र्यंबकमधील संत निवृत्तिनाथांचे समाधी मंदिर, वारकऱ्यांचे प्रमुख तीर्थ.",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1533200247
swami-samarth-gurupith-trimbak,"Shree Swami Samarth Gurupeeth, Trimbakeshwar","श्री स्वामी समर्थ गुरुपीठ, त्र्यंबकेश्वर","श्री स्वामी समर्थ गुरुपीठ, त्र्यंबकेश्वर",swami samarth|gurupeeth|gurupith|dindori pranit|swami samarth trimbak,temple,19.937576,73.544242,Trimbakeshwar,"Main centre of the Dindori Swami Samarth movement, just outside Trimbak.",त्र्यंबक के पास दिंडोरी स्वामी समर्थ परिवार का मुख्य केंद्र।,त्र्यंबकजवळील दिंडोरी प्रणित स्वामी समर्थ सेवा मार्गाचे मुख्य केंद्र.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1533202357
gajanan-maharaj-trimbak,"Shree Gajanan Maharaj Sansthan (Shegaon), Trimbakeshwar","श्री गजानन महाराज संस्थान (शेगांव), त्र्यंबकेश्वर","श्री गजानन महाराज संस्थान (शेगाव), त्र्यंबकेश्वर",gajanan maharaj|shegaon sansthan|gajanan mandir|gajanan maharaj trimbak,temple,19.936372,73.537557,Trimbakeshwar,Trimbak branch of the Shegaon Gajanan Maharaj Sansthan with a temple.,शेगांव गजानन महाराज संस्थान की त्र्यंबक शाखा और मंदिर।,शेगाव गजानन महाराज संस्थानची त्र्यंबक शाखा आणि मंदिर.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1533201644
sadhana-misal,Sadhana Chulivarchi Misal,साधना चूलीवरची मिसल,साधना चुलीवरची मिसळ,sadhana misal|sadhna misal|chulivarchi misal|sadhana misal pav|sadhana,food,20.021661,73.72087,Gangapur Road,"Famous wood-fire misal restaurant near Someshwar, running since 1959.","सोमेश्वर के पास चूल्हे पर बनी मिसल का प्रसिद्ध रेस्टोरेंट, 1959 से।","सोमेश्वरजवळील चुलीवरच्या मिसळीचे प्रसिद्ध ठिकाण, 1959 पासून.",,,,,claude-osm,2026-09-16,https://wanderlog.com/place/details/1138758/sadhana-chulivarchi-misal (not in OSM)
budha-halwai,Budha Halwai,बुधा हलवाई,बुधा हलवाई,budha halwai|buddha halwai|budha jalebi|budha halvai|jilebiwale,food,20.001917,73.792119,Old Nashik,"Old sweet shop famous for crispy jalebi, near Mahatma Phule market.","महात्मा फुले मार्केट के पास पुरानी मिठाई दुकान, कुरकुरी जलेबी के लिए प्रसिद्ध।","महात्मा फुले मंडईजवळील जुने मिठाई दुकान, कुरकुरीत जिलेबीसाठी प्रसिद्ध.",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/11499577041 ; https://nashik.com/budha-halwai/
sagar-sweets-college-road,"Sagar Sweets, College Road","सागर स्वीट्स, कॉलेज रोड","सागर स्वीट्स, कॉलेज रोड",sagar sweets|sagar sweet|sagar mithai|sagar,food,20.004175,73.769436,College Road,Well-known sweet shop on College Road.,कॉलेज रोड पर जानी-मानी मिठाई की दुकान।,कॉलेज रोडवरील प्रसिद्ध मिठाईचे दुकान.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/7293955238
kulkarni-pav-bhaji,Kulkarni's Pav Bhaji,कुलकर्णी पाव भाजी,कुलकर्णी पावभाजी,kulkarni pav bhaji|kulkarni pavbhaji|kulkarnis|pav bhaji,food,20.004452,73.786165,City,Popular pav bhaji and masala pav outlet in central Nashik.,मध्य नासिक में लोकप्रिय पाव भाजी और मसाला पाव की दुकान।,मध्य नाशिकमधील लोकप्रिय पावभाजी आणि मसाला पावचे ठिकाण.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/3318699534 ; https://www.zomato.com/nashik/kulkarnis-pav-bhaji-mg-road-ravivar-nagar-nasik
tuljai-misal-college-road,"Tuljai Misal, College Road","तुळजाई मिसल, कॉलेज रोड","तुळजाई मिसळ, कॉलेज रोड",tuljai misal|tulja misal|tuljai|tuljai misal pav,food,20.006159,73.76346,College Road,Popular spicy misal pav joint near College Road.,कॉलेज रोड के पास तीखी मिसल पाव की लोकप्रिय जगह।,कॉलेज रोडजवळील झणझणीत मिसळ पावचे लोकप्रिय ठिकाण.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/3640271040 ; https://wanderlog.com/place/details/9637014/tuljai-misal-pav
sita-maa-rasoi,Sita Maa Rasoi,सीता माँ रसोई,सीता माँ रसोई,sita rasoi|seeta maa rasoi|sita maa|rasoi panchavati,food,20.007629,73.796267,Panchavati,Simple eatery right next to Sita Gufa and Kalaram Mandir.,सीता गुफा और कालाराम मंदिर के पास सादा भोजनालय।,सीता गुंफा आणि काळाराम मंदिराजवळील साधे भोजनालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13474093828
ambika-bhojnalaya-trimbak,Ambika Bhojnalaya,अंबिका भोजनालय,अंबिका भोजनालय,ambika bhojnalay|ambika hotel|ambika bhojanalaya|trimbak thali,food,19.93267,73.530277,Trimbakeshwar,Simple vegetarian meals close to the Trimbakeshwar temple.,त्र्यंबकेश्वर मंदिर के पास सादा शाकाहारी भोजन।,त्र्यंबकेश्वर मंदिराजवळ साधे शाकाहारी जेवण.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13483147868
mahesh-bhojnalaya-trimbak,Mahesh Bhojnalaya,महेश भोजनालय,महेश भोजनालय,mahesh bhojanalay|mahesh hotel|mahesh bhojnalay|trimbak bhojnalaya,food,19.93268,73.530452,Trimbakeshwar,Simple vegetarian meals near the Trimbakeshwar temple.,त्र्यंबकेश्वर मंदिर के पास सादा शाकाहारी भोजन।,त्र्यंबकेश्वर मंदिराजवळ साधे शाकाहारी जेवण.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13483147867
hotel-samadhan-trimbak,Hotel Samadhan,होटल समाधान,हॉटेल समाधान,samadhan|hotel samadhan|samadhan restaurant|samadhan trimbak,food,19.937895,73.537059,Trimbakeshwar,Restaurant near the Trimbakeshwar bus depot.,त्र्यंबकेश्वर बस डिपो के पास रेस्टोरेंट।,त्र्यंबकेश्वर बस डेपोजवळील उपाहारगृह.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/11907115858
ajs-pure-veg-nashik-road,A.J.S Pure Veg Restaurant,ए.जे.एस शुद्ध शाकाहारी रेस्टोरेंट,ए.जे.एस शुद्ध शाकाहारी उपाहारगृह,ajs restaurant|ajs pure veg|a j s|pure veg nashik road,food,19.947467,73.841961,Nashik Road,Pure-veg restaurant right by Nashik Road railway station.,नासिक रोड रेलवे स्टेशन के पास शुद्ध शाकाहारी रेस्टोरेंट।,नाशिक रोड रेल्वे स्थानकाजवळील शुद्ध शाकाहारी उपाहारगृह.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13517529113
hotel-saptashrungi-lodging,Hotel Saptashrungi Lodging,होटल सप्तश्रृंगी लॉजिंग,हॉटेल सप्तशृंगी लॉजिंग,saptashrungi lodge|saptashrungi hotel|saptashringi lodging,stay,20.007465,73.79401,Panchavati,Lodge a short walk from Ramkund and Kalaram Mandir.,रामकुंड और कालाराम मंदिर से थोड़ी दूरी पर लॉज।,रामकुंड आणि काळाराम मंदिरापासून थोड्या अंतरावरील लॉज.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13474277740
raahgir-guest-house,Raahgir Guest House,राहगीर गेस्ट हाउस,राहगीर गेस्ट हाऊस,rahgir|raahgir|rahagir guest house|raahgir panchavati,stay,20.008826,73.794687,Panchavati,"Guest house near Panchavati Karanja, close to Ramkund.","पंचवटी कारंजा के पास गेस्ट हाउस, रामकुंड के करीब।","पंचवटी कारंजाजवळील गेस्ट हाऊस, रामकुंडाजवळ.",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13475353253
singhania-guest-house,Singhania Guest House,सिंघानिया गेस्ट हाउस,सिंघानिया गेस्ट हाऊस,singhania|singhaniya guest house|singhania dharamshala,stay,20.008555,73.794267,Panchavati,Guest house in Panchavati near Ramkund.,पंचवटी में रामकुंड के पास गेस्ट हाउस।,पंचवटीत रामकुंडाजवळील गेस्ट हाऊस.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13484682376
hotel-rahi-panchavati,Hotel Rahi,होटल राही,हॉटेल राही,rahi hotel|hotel raahi|rahi panchavati,stay,20.012944,73.793476,Panchavati,"Hotel in Gangawadi, Panchavati.",पंचवटी के गंगावाडी में होटल।,पंचवटीतील गंगावाडी येथील हॉटेल.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/6221175586
lokhandwala-dharamshala-trimbak,Lokhandwala Dharamshala,लोखंडवाला धर्मशाला,लोखंडवाला धर्मशाळा,lokhandwala|lokhandwala dharmashala|dharamshala trimbak|lokandwala,stay,19.932795,73.530581,Trimbakeshwar,"Dharamshala on Patil Gali, steps from the Trimbakeshwar temple.","पाटिल गली में धर्मशाला, त्र्यंबकेश्वर मंदिर के पास।","पाटील गल्लीतील धर्मशाळा, त्र्यंबकेश्वर मंदिराजवळ.",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13483147866
geetai-lodge-trimbak,Geetai Lodge,गीताई लॉज,गीताई लॉज,geetai|gitai lodge|geetai lodging,stay,19.93359,73.530566,Trimbakeshwar,Lodge near the Trimbakeshwar temple.,त्र्यंबकेश्वर मंदिर के पास लॉज।,त्र्यंबकेश्वर मंदिराजवळील लॉज.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13483147863
hotel-matoshri-trimbak,Hotel Matoshri,होटल मातोश्री,हॉटेल मातोश्री,matoshri|matoshree hotel|hotel matoshree,stay,19.933105,73.530618,Trimbakeshwar,Hotel on Patil Gali near the Trimbakeshwar temple.,पाटिल गली में त्र्यंबकेश्वर मंदिर के पास होटल।,पाटील गल्लीत त्र्यंबकेश्वर मंदिराजवळील हॉटेल.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13483147865
hotel-sai-yatri-trimbak,Hotel Sai Yatri,होटल साई यात्री,हॉटेल साई यात्री,sai yatri|hotel sai yatri|sai yatree,stay,19.933314,73.53073,Trimbakeshwar,Hotel near the Trimbakeshwar temple.,त्र्यंबकेश्वर मंदिर के पास होटल।,त्र्यंबकेश्वर मंदिराजवळील हॉटेल.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13483147864
krushna-inn-trimbak,Krushna Inn,कृष्णा इन,कृष्णा इन,krishna inn|krushna in|krushna hotel,stay,19.93446,73.530654,Trimbakeshwar,Hotel in Trimbak town near the temple.,त्र्यंबक शहर में मंदिर के पास होटल।,त्र्यंबक शहरात मंदिराजवळील हॉटेल.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/13483147861
hotel-shiv-palace-trimbak,Hotel Shiv Palace,होटल शिव पैलेस,हॉटेल शिव पॅलेस,shiv palace|shiva palace|hotel shiv palace trimbak,stay,19.937828,73.53733,Trimbakeshwar,Hotel near the Trimbakeshwar bus depot.,त्र्यंबकेश्वर बस डिपो के पास होटल।,त्र्यंबकेश्वर बस डेपोजवळील हॉटेल.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/11907115859
civil-hospital-nashik,Nashik Civil Hospital,नासिक सिविल अस्पताल,नाशिक जिल्हा शासकीय रुग्णालय (सिव्हिल हॉस्पिटल),civil hospital|sivil hospital|district hospital|sarkari hospital|civil,hospital,19.997323,73.778089,City,Main government district hospital on Trimbak Road.,त्र्यंबक रोड पर मुख्य सरकारी जिला अस्पताल।,त्र्यंबक रोडवरील मुख्य शासकीय जिल्हा रुग्णालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1466555423
indira-gandhi-hospital-panchavati,NMC Indira Gandhi Hospital,मनपा इंदिरा गांधी अस्पताल,मनपा इंदिरा गांधी रुग्णालय,indira gandhi hospital|nmc hospital panchavati|panchavati hospital|indira hospital,hospital,20.009887,73.795487,Panchavati,"Municipal hospital at Panchavati Karanja, the nearest public hospital to Ramkund.","पंचवटी कारंजा पर नगर निगम अस्पताल, रामकुंड का सबसे नज़दीकी सरकारी अस्पताल।","पंचवटी कारंजा येथील महापालिका रुग्णालय, रामकुंडाजवळचे सरकारी रुग्णालय.",,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1471585114
zakir-hussain-hospital,Dr Zakir Hussain Hospital,डॉ. ज़ाकिर हुसैन अस्पताल,डॉ. झाकीर हुसेन रुग्णालय,zakir hussain|zakir hospital|jakir hussain hospital|nmc zakir hussain,hospital,19.995977,73.799296,Dwarka,Municipal hospital near Dwarka on the Mumbai-Agra road.,मुंबई-आगरा रोड पर द्वारका के पास नगर निगम अस्पताल।,मुंबई-आग्रा रोडवर द्वारकाजवळील महापालिका रुग्णालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1466151433
bytco-hospital,Bytco Hospital,बिटको अस्पताल,बिटको रुग्णालय,bytco|bitco hospital|bytco hospital nashik road|jdc bytco,hospital,19.948577,73.838006,Nashik Road,Municipal hospital on Jail Road at Nashik Road.,नासिक रोड में जेल रोड पर नगर निगम अस्पताल।,नाशिक रोड येथे जेल रोडवरील महापालिका रुग्णालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1466145716
rural-hospital-trimbak,"Rural Hospital, Trimbak","ग्रामीण अस्पताल, त्र्यंबक","ग्रामीण रुग्णालय, त्र्यंबक",trimbak hospital|rural hospital|gramin rugnalay|trimbakeshwar hospital,hospital,19.933607,73.532509,Trimbakeshwar,Government rural hospital in Trimbak town.,त्र्यंबक शहर में सरकारी ग्रामीण अस्पताल।,त्र्यंबक शहरातील शासकीय ग्रामीण रुग्णालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/node/7229411035
wockhardt-hospital-nashik,Wockhardt Hospital,वॉकहार्ट अस्पताल,वोक्हार्ट हॉस्पिटल,wockhardt|wokhardt|vokhart hospital|wockhardt nashik,hospital,19.991557,73.790443,City,Private multi-speciality hospital near Mumbai Naka.,मुंबई नाका के पास निजी मल्टी-स्पेशियलिटी अस्पताल।,मुंबई नाक्याजवळील खाजगी मल्टीस्पेशालिटी रुग्णालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1466572181
apollo-hospital-nashik,Apollo Hospital,अपोलो अस्पताल,अपोलो हॉस्पिटल,apollo|apolo hospital|apollo nashik,hospital,20.012062,73.816093,Tapovan,Private multi-speciality hospital on the highway near Tapovan.,तपोवन के पास हाईवे पर निजी मल्टी-स्पेशियलिटी अस्पताल।,तपोवनजवळ महामार्गावरील खाजगी मल्टीस्पेशालिटी रुग्णालय.,,,,,claude-osm,2026-09-16,https://www.openstreetmap.org/way/1471883313
